date,feature,ic
2023-10-31,CashFlowYield,
2023-10-31,RevGrowth_YoY,
2023-10-31,EarnGrowth_YoY,
2023-10-31,LogMktCap,
2023-10-31,VolRatio,-0.10570127632643014
2023-11-30,Mom_12_1,-0.07531732358215253
2023-11-30,Mom_6_1,-0.13149766182623676
2023-11-30,Mom_1,-0.4617172391969339
2023-11-30,Vol_12,0.47592911641644103
2023-11-30,IdioVol,0.30199447980028826
2023-11-30,Beta_12,0.4129997187159382
2023-11-30,High52W,-0.5235285327520128
2023-11-30,Trend_MA,-0.4455952673956611
2023-11-30,MaxRet_1M,-0.02365247354171794
2023-11-30,PB_ratio,
2023-11-30,PE_TTM,
2023-11-30,EV_EBITDA,
2023-11-30,ROE,
2023-11-30,GrossMargin,
2023-11-30,CashFlowYield,
2023-11-30,RevGrowth_YoY,
2023-11-30,EarnGrowth_YoY,
2023-11-30,LogMktCap,
2023-11-30,VolRatio,-0.09867532787173446
2023-12-31,Mom_12_1,0.37255722372631056
2023-12-31,Mom_6_1,0.283539608311944
2023-12-31,Mom_1,0.02784448507436447
2023-12-31,Vol_12,-0.188530642382476
2023-12-31,IdioVol,-0.15522660947224076
2023-12-31,Beta_12,-0.17852659892408845
2023-12-31,High52W,0.45551467809151924
2023-12-31,Trend_MA,0.4037788755669631
2023-12-31,MaxRet_1M,-0.26518318624520937
2023-12-31,PB_ratio,
2023-12-31,PE_TTM,
2023-12-31,EV_EBITDA,
2023-12-31,ROE,
2023-12-31,GrossMargin,
2023-12-31,CashFlowYield,
2023-12-31,RevGrowth_YoY,
2023-12-31,EarnGrowth_YoY,
2023-12-31,LogMktCap,
2023-12-31,VolRatio,-0.21626964593368725
2024-01-31,Mom_12_1,0.2762807214936184
2024-01-31,Mom_6_1,0.06546183326887241
2024-01-31,Mom_1,0.08894817341162406
2024-01-31,Vol_12,0.08101772089588972
2024-01-31,IdioVol,
2024-01-31,Beta_12,0.02027882282620161
2024-01-31,High52W,
2024-01-31,Trend_MA,
2024-01-31,MaxRet_1M,0.05106448437115431
2024-01-31,PB_ratio,
2024-01-31,PE_TTM,
2024-01-31,EV_EBITDA,
2024-01-31,ROE,
2024-01-31,GrossMargin,
2024-01-31,CashFlowYield,
2024-01-31,RevGrowth_YoY,
2024-01-31,EarnGrowth_YoY,
2024-01-31,LogMktCap,
2024-01-31,VolRatio,-0.07275060651875813
2024-02-29,Mom_12_1,-0.22445325410498926
2024-02-29,Mom_6_1,-0.10167627720544284
2024-02-29,Mom_1,0.03862557575331387
2024-02-29,Vol_12,0.13486603846559544
2024-02-29,IdioVol,0.17939945852818115
2024-02-29,Beta_12,-0.01400706726205126
2024-02-29,High52W,-0.11571549750251309
2024-02-29,Trend_MA,-0.06108698709609366
2024-02-29,MaxRet_1M,0.054802046341549164
2024-02-29,PB_ratio,
2024-02-29,PE_TTM,
2024-02-29,EV_EBITDA,
2024-02-29,ROE,
2024-02-29,GrossMargin,
2024-02-29,CashFlowYield,
2024-02-29,RevGrowth_YoY,
2024-02-29,EarnGrowth_YoY,
2024-02-29,LogMktCap,
2024-02-29,VolRatio,0.012662177841848034
2024-03-31,Mom_12_1,0.0038324953412327265
2024-03-31,Mom_6_1,0.03252083260082275
2024-03-31,Mom_1,0.008217889666326781
2024-03-31,Vol_12,-0.08726838015540943
2024-03-31,IdioVol,-0.08389297141450722
2024-03-31,Beta_12,-0.07229615695650644
2024-03-31,High52W,0.11702122547652213
2024-03-31,Trend_MA,0.04768643859217327
2024-03-31,MaxRet_1M,-0.026791427868218413
2024-03-31,PB_ratio,
2024-03-31,PE_TTM,
2024-03-31,EV_EBITDA,
2024-03-31,ROE,
2024-03-31,GrossMargin,
2024-03-31,CashFlowYield,
2024-03-31,RevGrowth_YoY,
2024-03-31,EarnGrowth_YoY,
2024-03-31,LogMktCap,
2024-03-31,VolRatio,0.020037973348335146
2024-04-30,Mom_12_1,0.1336732182412714
2024-04-30,Mom_6_1,0.057169227523645436
2024-04-30,Mom_1,-0.009446749411061495
2024-04-30,Vol_12,-0.05717889666326781
2024-04-30,IdioVol,
2024-04-30,Beta_12,-0.01220597025421047
2024-04-30,High52W,
2024-04-30,Trend_MA,
2024-04-30,MaxRet_1M,0.10264231215498752
2024-04-30,PB_ratio,
2024-04-30,PE_TTM,
2024-04-30,EV_EBITDA,
2024-04-30,ROE,
2024-04-30,GrossMargin,
2024-04-30,CashFlowYield,
2024-04-30,RevGrowth_YoY,
2024-04-30,EarnGrowth_YoY,
2024-04-30,LogMktCap,
2024-04-30,VolRatio,0.006143419710980627
2024-05-31,Mom_12_1,0.2936719876235012
