params,score
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.0682618407904515
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.06825244226526365
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.04621844845156386
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.04499207234512123
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.048268372415836085
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.055670195346210094
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.05502362699167554
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.06085637529972555
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07062224295174041
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.06788878798937255
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07071263205578672
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.061840860108852515
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.06466003557493682
